ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Petroleum & Natural Gas,Energy Storage,City Gas Distribution Projects at Alipurduar and Cooch Behar,(Bharat Petroleum Corporation Limited [BPCL]),434,West Bengal,12/2022,12/2022,03/2030,,1017.0,1017.0,238.41,43.8,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Korba,"(Medical Education, Ministry of Health and Family Welfare)",443,Chhattisgarh,02/2023,10/2023,12/2026,,325.0,322.85,179.49,55.0,-0.6615384615384545,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Rudrapur,"(Medical Education, Ministry of Health and Family Welfare)",468,Uttarakhand,10/2022,02/2024,12/2026,,325.0,325.0,353.01,95.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi",(PMSSY AND Institute of NATIONAL Importance),446,Delhi,09/2025,09/2025,09/2026,,358.19,358.19,53.73,40.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi",(PMSSY AND Institute of NATIONAL Importance),447,Delhi,10/2016,06/2022,06/2027,,4441.0,4441.0,44.44,57.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,AIIMS Rajkot,(PMSSY AND Institute of NATIONAL Importance),448,Gujarat,01/2019,01/2019,03/2026,12/2026,1195.0,1195.0,805.48,94.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Panchmahal,"(Medical Education, Ministry of Health and Family Welfare)",449,Gujarat,09/2022,09/2022,03/2026,,325.0,663.5,467.34,88.0,104.15384615384615,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Porbandar,"(Medical Education, Ministry of Health and Family Welfare)",450,Gujarat,04/2022,10/2022,09/2024,,325.0,618.98,936.64,81.0,90.45538461538463,2026-07
Ministry of Health & Family Welfare,Healthcare,AIIMS Majra Rewari Haryana,(Ministry of Health and Family Welfare),451,Haryana,02/2019,02/2019,12/2026,12/2026,1299.0,1646.43,747.62,67.45,26.745958429561206,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Mahasamund,"(Medical Education, Ministry of Health and Family Welfare)",444,Chhattisgarh,10/2023,10/2023,05/2026,,325.0,325.0,321.7,84.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Revamping / Augmentation of Facilities at Mathura Bitumen Plant,(Indian Oil Corporation Limited [IOCL]),426,Uttar Pradesh,04/2022,04/2022,06/2027,12/2026,260.12,260.12,23.58,57.3,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Chaibasa [Singhbhum],"(Medical Education, Ministry of Health and Family Welfare)",456,Jharkhand,06/2018,03/2023,09/2025,,250.0,454.1,65.0,57.0,81.64000000000001,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Mandla,"(Medical Education, Ministry of Health and Family Welfare)",459,Madhya Pradesh,08/2023,10/2023,04/2026,,325.0,325.0,89.41,45.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Gondia,"(Medical Education, Ministry of Health and Family Welfare)",460,Maharashtra,07/2021,01/1900,01/1900,,189.0,189.0,113.4,40.14,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Hoshiarpur,"(Medical Education, Ministry of Health and Family Welfare)",464,Punjab,01/2020,03/2026,12/2028,,325.0,374.75,2.04,5.0,15.307692307692308,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Gangtok,"(Medical Education, Ministry of Health and Family Welfare)",465,Sikkim,10/2018,12/2018,12/2026,07/2026,250.0,635.21,667.21,92.0,154.08400000000003,2026-07
Ministry of Health & Family Welfare,Healthcare,ALL India Institute of Medical Sciences-AIIMS Madurai,(PMSSY AND Institute of NATIONAL Importance),466,Tamil Nadu,12/2018,12/2018,08/2022,10/2026,1264.0,2021.51,540.92,54.0,59.929588607594944,2026-07
Ministry of Health & Family Welfare,Healthcare,AIIMS Bibinagar,(PMSSY AND Institute of NATIONAL Importance),467,Telangana,12/2018,07/2022,06/2026,12/2026,1028.0,1365.95,1028.94,87.58,32.87451361867705,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Leh,"(Medical Education, Ministry of Health and Family Welfare)",457,Ladakh,10/2019,01/1900,01/1900,,325.0,325.0,127.0,0.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Rajgarh,"(Medical Education, Ministry of Health and Family Welfare)",458,Madhya Pradesh,12/2021,11/2022,04/2024,,325.0,325.0,179.5,86.0,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.12 Coke Dry Cooling Plant at IISCO Steel Plant,(Steel Authority of India Limited (SAIL)),517,West Bengal,01/2025,02/2025,07/2028,,706.51,706.51,132.26,11.87,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Pithoragarh,"(Medical Education, Ministry of Health and Family Welfare)",469,Uttarakhand,08/2021,04/2023,12/2026,,325.0,768.89,470.08,78.0,136.58153846153846,2026-07
Ministry of Labour and Employment,Healthcare,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",(Employee's State Insurance Company [ESIC]),472,Gujarat,08/2022,10/2023,10/2025,11/2026,205.87,205.87,51.74,58.0,0.0,2026-07
Ministry of Labour and Employment,Healthcare,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka",(Employee's State Insurance Company [ESIC]),473,Karnataka,02/2015,10/2024,01/2027,05/2027,278.0,278.0,80.52,35.0,0.0,2026-07
Ministry of Labour and Employment,Healthcare,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",(Employee's State Insurance Company [ESIC]),475,Maharashtra,10/2013,08/2022,08/2025,09/2026,194.93,196.7,116.22,67.0,0.9080182629661836,2026-07
Ministry of Labour and Employment,Healthcare,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff Housing for ESIC Hospital at Andheri, Mumbai",(Employee's State Insurance Company [ESIC]),476,Maharashtra,12/2008,06/2009,08/2025,09/2026,260.13,260.13,216.46,89.0,0.0,2026-07
Ministry of Labour and Employment,Healthcare,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.",(Employee's State Insurance Company [ESIC]),477,Odisha,12/2010,02/2025,06/2027,,164.6,164.6,16.44,7.2,0.0,2026-07
Ministry of Labour and Employment,Healthcare,CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR,(Employee's State Insurance Company [ESIC]),478,Uttarakhand,02/2021,12/2021,10/2024,07/2026,102.4,297.63,340.3,90.5,190.65429687499997,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,"Replacement and revamping of pipeline projects in oil jetty area, Kandla",(Deendayal Port Trust [DPT]),481,Gujarat,09/2021,09/2021,09/2023,03/2025,171.0,211.61,149.5,92.0,23.748538011695913,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT basis - Phase II,(New Mangalore Port Authority),482,Karnataka,12/2023,06/2024,03/2027,,153.23,153.23,97.45,95.0,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,IMC at Prayagraj,(National Industrial Corridor Development Corporation),495,Uttar Pradesh,08/2024,04/2026,06/2027,,658.0,658.0,75.63,27.79,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Development of IMC Khurpia Farms under AKIC Project,(National Industrial Corridor Development Corporation),496,Uttarakhand,08/2024,03/2026,09/2028,,1265.37,1265.37,0.0,3.23,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Krishnapatnam Node - Phase 1 - Roads and Services Development,(National Industrial Corridor Development Corporation),488,Andhra Pradesh,12/2020,02/2024,02/2027,,2139.44,2139.44,984.13,47.77,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Gaya Integrated Manufacturing Cluster IMC in Bihar,(National Industrial Corridor Development Corporation),489,Bihar,08/2024,04/2026,04/2029,,1339.02,1339.02,0.0,5.0,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Tumakuru Node - Phase 1 - Roads and Services Development,(NICDC),490,Karnataka,12/2020,02/2023,09/2026,09/2027,1701.81,1701.81,337.56,27.12,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Development of Palakkad Node under extension of CBIC to Kochi,(National Industrial Corridor Development Corporation),491,Kerala,08/2024,10/2025,04/2029,,3805.0,3805.0,57.93,5.3,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,IMC Rajpura - Patiala Development Project,(National Industrial Corridor Development Corporation),492,Punjab,08/2024,03/2026,09/2028,,1367.72,1367.72,0.0,3.4,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,(National Industrial Corridor Development Corporation),493,Rajasthan,08/2024,01/2026,07/2028,,921.66,921.66,0.0,6.32,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,(National Industrial Corridor Development Corporation),494,Telangana,08/2024,02/2026,02/2029,,2360.0,2360.0,42.89,4.87,0.0,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Deepening and Optimization of Inner Harbour facilities including development of Western Dock on BOT basis to handle Cape size vessels,(Paradip Port Trust [PPT]),483,Odisha,05/2022,01/2023,12/2027,10/2028,3004.63,3004.63,2261.12,76.0,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,Establishment of new GMC Kanker,"(Medical Education, Ministry of Health and Family Welfare)",445,Chhattisgarh,02/2020,09/2024,03/2027,,325.0,325.0,37.0,45.0,0.0,2026-07
Ministry of Steel,Metals & Mining,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,(National Mineral Development Corporation Limited [NMDC]),497,Chhattisgarh,08/2021,07/2022,12/2028,03/2028,1700.0,1756.2,292.01,23.09,3.3058823529411794,2026-07
Ministry of Steel,Metals & Mining,Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter Plant-1 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),508,Jharkhand,03/2024,04/2024,06/2026,04/2027,260.37,260.37,127.53,53.15,0.0,2026-07
Ministry of Steel,Metals & Mining,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of Secondary Emission at Bhilai Steel Plant",(Steel Authority of India Limited [SAIL]),500,Chhattisgarh,10/2023,12/2023,06/2026,09/2026,471.83,471.83,266.11,74.3,0.0,2026-07
Ministry of Steel,Metals & Mining,Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),501,Chhattisgarh,11/2023,01/2024,10/2025,09/2026,884.1,884.1,693.83,94.73,0.0,2026-07
Ministry of Steel,Metals & Mining,NMDC Slurry Pipeline Project Phase-1,(National Mineral Development Corporation Limited [NMDC]),502,Chhattisgarh,11/2015,09/2020,06/2023,08/2026,2907.0,5427.0,3649.08,95.8,86.687306501548,2026-07
Ministry of Steel,Metals & Mining,SCREENING PLANT-III AT KIRANDUL,(National Mineral Development Corporation Limited [NMDC]),503,Chhattisgarh,01/2009,10/2021,01/2026,07/2027,2718.84,3062.39,1754.7,83.42,12.63590354710096,2026-07
Ministry of Steel,Metals & Mining,Super accelerated cooling system (Uniform Cooling) for high strength plates in Plate Mill at BSP,(Steel Authority of India Limited (SAIL)),504,Chhattisgarh,06/2025,06/2025,12/2026,,192.21,192.21,63.8,48.01,0.0,2026-07
Ministry of Steel,Metals & Mining,"New Sinter Plant at BSL, SAIL",(Steel Authority of India Limited [SAIL]),505,Jharkhand,03/2015,10/2015,10/2027,06/2027,1034.01,1752.3,1028.11,64.26,69.4664461658978,2026-07
Ministry of Steel,Metals & Mining,Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),506,Jharkhand,01/2025,02/2025,01/2027,,211.94,211.94,60.6,62.05,0.0,2026-07
Ministry of Labour and Employment,Healthcare,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",(Employee's State Insurance Company [ESIC]),470,Andhra Pradesh,02/2021,04/2023,10/2025,08/2026,384.27,384.27,286.38,95.0,0.0,2026-07
Ministry of Steel,Metals & Mining,Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),499,Chhattisgarh,07/2024,08/2024,07/2026,,198.62,198.62,129.25,82.79,0.0,2026-07
Ministry of Steel,Metals & Mining,Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),509,Jharkhand,11/2023,12/2023,11/2026,11/2027,627.31,627.31,347.42,68.07,0.0,2026-07
Ministry of Steel,Metals & Mining,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",(National Mineral Development Corporation Limited [NMDC]),510,Karnataka,11/2014,06/2024,08/2026,,1043.63,1043.63,649.52,70.33,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.7 Coke Dry Cooling Plant at RSP,(Steel Authority of India Limited (SAIL)),511,Odisha,02/2026,02/2026,08/2028,,1064.55,1064.55,73.91,0.0,0.0,2026-07
Ministry of Steel,Metals & Mining,Implementation of Treatment System-2 Under ZLD at RSP,(Steel Authority of India Limited (SAIL)),512,Odisha,02/2025,03/2025,09/2026,,216.02,216.02,134.29,89.83,0.0,2026-07
Ministry of Steel,Metals & Mining,"New Product Testing Laboratory for NPM, SPP & NHSM at RSP",(Steel Authority of India Limited (SAIL)),513,Odisha,06/2025,07/2025,08/2027,,155.26,155.26,56.24,71.75,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.7 Battery Proper at RSP,(Steel Authority of India Limited (SAIL)),514,Odisha,09/2024,10/2024,03/2028,,2584.41,2584.41,1182.92,54.16,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.12 By-product Plant at RSP,(Steel Authority of India Limited (SAIL)),515,Odisha,09/2024,10/2024,03/2028,,1140.07,1140.07,207.56,22.59,0.0,2026-07
Ministry of Steel,Metals & Mining,Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),507,Jharkhand,01/2025,02/2025,10/2026,04/2027,207.13,207.13,103.47,55.91,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant,(Steel Authority of India Limited (SAIL)),516,West Bengal,01/2025,02/2025,07/2028,,999.46,999.46,70.37,18.72,0.0,2026-07
Ministry of Labour and Employment,Healthcare,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",(Employee's State Insurance Company [ESIC]),474,Karnataka,07/2019,03/2025,02/2027,,150.92,150.92,31.05,28.1,0.0,2026-07
Ministry of Railways,Railways,Katni - Grade separator / bypass 21.50 km,(GM IRCON KATNI WCR mor),589,Madhya Pradesh,08/2016,09/2017,09/2024,09/2026,1248.0,2300.0,1839.46,84.0,84.2948717948718,2026-07
Ministry of Steel,Metals & Mining,Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),520,West Bengal,09/2024,10/2024,10/2027,10/2027,758.09,758.09,316.01,62.17,0.0,2026-07
Ministry of Steel,Metals & Mining,Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant,(Steel Authority of India Limited [SAIL]),521,West Bengal,11/2024,12/2024,07/2026,11/2026,227.96,227.96,111.44,74.55,0.0,2026-07
Ministry of Steel,Metals & Mining,Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),522,West Bengal,07/2024,12/2024,05/2026,12/2026,196.4,196.4,65.74,34.58,0.0,2026-07
Ministry of Steel,Metals & Mining,Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant,(Steel Authority of India Limited [SAIL]),523,West Bengal,01/2025,02/2025,07/2028,,2518.39,2518.39,472.41,27.66,0.0,2026-07
Ministry of Railways,Railways,Nadikude-Srikalahasti 308.7 km,(CAO/C/SCoR SCoR mor),524,Andhra Pradesh,03/2012,08/2015,05/2027,03/2028,2312.0,5906.03,2535.68,2.0,155.45112456747404,2026-07
Ministry of Railways,Railways,South Central Railway - Rail road over double line between Guntakal West-Mallapa Gate 9.64 km PB34/CR/2023-24,(CAO/C/SCoR SCoR mor),526,Andhra Pradesh,07/2023,01/2025,07/2026,,293.3,293.3,91.42,0.0,0.0,2026-07
Ministry of Railways,Railways,Sagauli - Valmikinagar 109.7 km,(CAO/Con/North/MHX ECR mor),542,Bihar,03/2018,02/2018,12/2025,12/2025,1216.0,1558.77,1460.42,91.0,28.188322368421055,2026-07
Ministry of Steel,Metals & Mining,Installation of New Bar Mill at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),519,West Bengal,07/2024,08/2024,06/2027,,2115.44,2115.44,935.57,67.5,0.0,2026-07
Ministry of Railways,Railways,Kurnool - Setting up facilities for coach midlife rehabilitation workshop,(WPO/Patna),527,Andhra Pradesh,01/2014,10/2017,12/2023,,560.72,560.72,276.66,65.0,0.0,2026-07
Ministry of Railways,Railways,New Bongaigaon - Goalpara - Guwahati Kamakhya 176 km,(CAO/C-III/NFR NFR mor),533,Assam,09/2016,06/2017,03/2026,03/2026,4060.0,4983.94,3821.96,91.0,22.75714285714285,2026-07
Ministry of Railways,Railways,East Central Railway - Construction of Bulb line at Nabinagar Ankorah 17.49Km PB45/ECoR/2024-25.,(CAO/Con/South/MHX ECR mor),535,Bihar,06/2024,07/2026,06/2028,,611.74,611.74,0.0,0.0,0.0,2026-07
Ministry of Railways,Railways,Hajipur-Sagauli via Vaishali 148.3 km,(CAO/Con/North/MHX ECR mor),537,Bihar,10/2007,12/2008,03/2020,06/2027,2067.0,3991.33,2843.39,74.0,93.09772617319787,2026-07
Ministry of Railways,Railways,Araria-Supaul 92 km,(CAO/Con/North/MHX ECR mor),538,Bihar,08/2009,09/2020,03/2024,01/2027,1605.0,2621.05,2140.8,40.0,63.305295950155774,2026-07
Ministry of Railways,Railways,Fatuah-Islampur incl. material modification for extension of new line from Neora to Daniawan Daniawan to Biharsharif Biharsharif to Barbigha Barbigha to Sheikhpura,(CAO/Con/South/MHX ECR mor),539,Bihar,08/2002,02/2000,03/2023,08/2025,1473.0,3259.35,3041.78,95.0,121.27291242362526,2026-07
Ministry of Railways,Railways,Jogbani-Biratnagar New Rail Line project,(Indian Railway Construction International Limited [IRCON]),540,Bihar,06/2010,01/2011,03/2022,12/2026,402.0,486.0,369.48,86.5,20.8955223880597,2026-07
Ministry of Railways,Railways,South Central Railway- 3rd line between Gudur-Renigunta stations 83.17 km PB34/CR/2023-24,(CAO/C/SCoR SCoR mor),530,Andhra Pradesh,10/2024,10/2024,03/2027,,877.34,877.34,53.46,0.0,0.0,2026-07
Ministry of Railways,Railways,Kurnool Coach Midlife Rehabilitation Project,(South Central Railway [SCR] - II),531,Andhra Pradesh,05/2016,07/2014,12/2020,12/2026,563.0,560.72,959.27,75.01,-0.404973357015981,2026-07
Ministry of Railways,Railways,Rajkot-Kanalus 111.20 km,(CAOCWR WR mor),567,Gujarat,10/2021,08/2022,10/2026,06/2026,1080.58,1205.18,1107.75,90.0,11.530844546447291,2026-07
Ministry of Railways,Railways,Samastipur-Darbhanga 38 km,(CAO/Con/North/MHX ECR mor),541,Bihar,11/2015,02/2017,03/2025,10/2025,519.0,973.56,746.81,92.0,87.58381502890172,2026-07
Ministry of Railways,Railways,Muzaffarpur - Sagauli 100.6 km,(CAO/Con/North/MHX ECR mor),543,Bihar,03/2018,03/2019,06/2024,06/2026,1586.0,1744.84,1554.88,99.0,10.015132408575028,2026-07
